Gene_Signature	Entrez_Gene_ID	Gene_Symbol	Signature_ID
8_GO_TCR_signaling_EntrezID	5588	PRKCQ	8
8_GO_TCR_signaling_EntrezID	25865	PRKD2	8
8_GO_TCR_signaling_EntrezID	5663	PSEN1	8
8_GO_TCR_signaling_EntrezID	5664	PSEN2	8
8_GO_TCR_signaling_EntrezID	5728	PTEN	8
8_GO_TCR_signaling_EntrezID	26191	PTPN22	8
8_GO_TCR_signaling_EntrezID	5788	PTPRC	8
8_GO_TCR_signaling_EntrezID	10616	RBCK1	8
8_GO_TCR_signaling_EntrezID	5970	RELA	8
8_GO_TCR_signaling_EntrezID	8767	RIPK2	8
8_GO_TCR_signaling_EntrezID	55072	RNF31	8
8_GO_TCR_signaling_EntrezID	6233	RPS27A	8
8_GO_TCR_signaling_EntrezID	8631	SKAP1	8
8_GO_TCR_signaling_EntrezID	23118	TAB2	8
8_GO_TCR_signaling_EntrezID	387357	THEMIS	8
