query,notfound,_id,_score,symbol
246,,246,25.52669,ALOX15
247,,247,26.31847,ALOX15B
240,,240,26.31847,ALOX5
241,,241,26.317228,ALOX5AP
59344,,59344,26.31847,ALOXE3
248,,248,26.31847,ALPI
80216,,80216,25.52669,ALPK1
115701,,115701,25.52669,ALPK2
57538,,57538,25.52669,ALPK3
249,,249,25.52669,ALPL
250,,250,26.31847,ALPP
251,,251,26.31847,ALPG
57679,,57679,25.52669,ALS2
259173,,259173,25.52669,ALS2CL
151254,,151254,26.31847,C2CD6
130540,,130540,26.31847,FLACC1
65062,,65062,26.31847,TMEM237
79800,,79800,26.31847,CARF
8092,,8092,25.52669,ALX1
257,,257,26.31847,ALX3
60529,,60529,26.31847,ALX4
146861,,146861,26.31847,SLC35G3
83650,,83650,26.31847,SLC35G5
643664,,643664,26.31847,SLC35G6
23600,,23600,26.31847,AMACR
258,,258,26.31847,AMBN
259,,259,26.317228,AMBP
55626,,55626,25.525448,AMBRA1
262,,262,25.52669,AMD1
144193,,144193,26.31847,AMDHD1
51005,,51005,26.31847,AMDHD2
265,,265,26.31847,AMELX
266,,266,26.31847,AMELY
267,,267,26.31847,AMFR
268,,268,25.525448,AMH
269,,269,25.52669,AMHR2
120425,,120425,25.52669,JAML
57463,,57463,26.31847,AMIGO1
347902,,347902,26.31847,AMIGO2
386724,,386724,25.52669,AMIGO3
9949,,9949,26.31847,AMMECR1
83607,,83607,26.31847,AMMECR1L
196394,,196394,26.31847,AMN1
81693,,81693,25.52669,AMN
154796,,154796,26.31847,AMOT
154810,,154810,25.52669,AMOTL1
51421,,51421,25.52669,AMOTL2
270,,270,25.52669,AMPD1
271,,271,26.31847,AMPD2
272,,272,26.31847,AMPD3
273,,273,26.31847,AMPH
275,,275,26.31847,AMT
401138,,401138,26.31847,AMTN
276,,276,26.317228,AMY1A
279,,279,26.31847,AMY2A
280,,280,26.31847,AMY2B
155185,,155185,26.31847,AMZ1
51321,,51321,26.31847,AMZ2
201283,,201283,8.489829,AMZ2P1
10393,,10393,25.52669,ANAPC10
51529,,51529,25.52669,ANAPC11
25847,,25847,25.52669,ANAPC13
119504,,119504,25.52669,ANAPC16
64682,,64682,25.52669,ANAPC1
29882,,29882,25.52669,ANAPC2
29945,,29945,25.52669,ANAPC4
51433,,51433,25.525448,ANAPC5
51434,,51434,25.525448,ANAPC7
283,,283,25.52669,ANG
23357,,23357,26.31847,ANGEL1
90806,,90806,26.31847,ANGEL2
284,,284,25.52669,ANGPT1
285,,285,25.52669,ANGPT2
51378,,51378,25.52669,ANGPT4
9068,,9068,26.31847,ANGPTL1
23452,,23452,26.31847,ANGPTL2
27329,,27329,26.31847,ANGPTL3
51129,,51129,26.31847,ANGPTL4
253935,,253935,26.31847,ANGPTL5
83854,,83854,26.31847,ANGPTL6
10218,,10218,26.31847,ANGPTL7
286,,286,25.52669,ANK1
287,,287,26.31847,ANK2
288,,288,26.31847,ANK3
150709,,150709,26.31847,ANKAR
348094,,348094,26.31847,ANKDD1A
162282,,162282,26.31847,ANKFN1
51479,,51479,26.317228,ANKFY1
56172,,56172,25.52669,ANKH
54882,,54882,26.31847,ANKHD1
404734,,404734,26.31847,ANKHD1-EIF4EBP3
54467,,54467,26.31847,ANKIB1
255239,,255239,25.52669,ANKK1
126549,,126549,26.31847,ANKLE1
23141,,23141,26.31847,ANKLE2
51281,,51281,26.31847,ANKMY1
57037,,57037,26.317228,ANKMY2
57763,,57763,26.31847,ANKRA2
55608,,55608,26.31847,ANKRD10
29123,,29123,26.31847,ANKRD11
23253,,23253,26.31847,ANKRD12
27063,,27063,25.52669,ANKRD1
88455,,88455,26.31847,ANKRD13A
124930,,124930,26.31847,ANKRD13B
81573,,81573,26.31847,ANKRD13C
338692,,338692,26.31847,ANKRD13D
54522,,54522,26.317228,ANKRD16
26057,,26057,26.31847,ANKRD17
138649,,138649,8.489829,ANKRD19P
441425,,441425,8.489829,ANKRD20A3P
728747,,728747,8.489829,ANKRD20A4P
729171,,729171,8.489829,ANKRD20A8P
118932,,118932,26.31847,ANKRD22
26287,,26287,26.31847,ANKRD2
200539,,200539,25.52669,ANKRD23
170961,,170961,26.31847,ANKRD24
22852,,22852,26.31847,ANKRD26
